temperature;global_horizontal_rad;direct_normal_rad;dif_rad_horizontal;irr_rad;wind_speed;humidity
1.4;65;0;65;290;2.1;72
1.4;57;0;57;290;1.5;72
1.3;41;0;41;290;1.0;74
1.2;20;0;20;289;1.0;73
1.1;3;0;3;289;1.0;75
1.2;0;0;0;289;1.0;76
1.2;0;0;0;289;1.0;76
1.2;0;0;0;289;1.0;76
1.0;0;0;0;289;1.0;79
0.9;0;0;0;289;0.0;83
0.8;0;0;0;289;0.0;86
0.9;0;0;0;289;0.0;86
0.6;0;0;0;288;0.0;86
0.7;0;0;0;287;0.0;78
0.6;0;0;0;287;1.0;80
0.8;0;0;0;288;0.0;79
0.8;0;0;0;288;0.0;81
0.8;0;0;0;287;1.5;73
0.7;0;0;0;288;0.0;81
0.7;0;0;0;289;1.0;88
0.8;11;0;11;287;1.0;74
0.8;33;0;33;286;1.0;66
0.9;52;0;52;287;1.0;70
1.0;63;0;63;287;2.1;68
1.2;66;0;66;288;1.0;71
1.4;149;23;141;282;2.1;72
1.6;42;0;42;290;1.5;70
1.4;21;0;21;289;2.6;68
1.2;3;0;3;289;2.1;75
1.2;0;0;0;289;2.1;73
1.1;0;0;0;288;1.5;73
1.1;0;0;0;289;1.0;75
1.1;0;0;0;280;2.1;73
0.9;0;0;0;288;2.1;74
0.7;0;0;0;286;2.1;72
0.6;0;0;0;286;2.1;75
0.4;0;0;0;285;2.1;75
0.2;0;0;0;285;2.1;79
0.1;0;0;0;285;1.5;81
0.0;0;0;0;284;2.1;80
-0.1;0;0;0;284;1.0;84
-0.1;0;0;0;284;1.2;83
0.0;0;0;0;284;1.5;83
0.3;0;0;0;286;2.6;85
0.3;11;0;11;286;3.6;81
0.6;34;0;34;286;3.1;77
1.0;53;0;53;288;3.1;74
1.3;64;0;64;290;2.6;75
1.8;66;0;66;293;2.6;82
1.8;59;0;59;293;3.6;78
1.7;43;0;43;293;2.1;85
2.0;54;1;54;287;1.0;89
1.9;9;0;9;287;1.5;90
1.6;0;0;0;294;1.5;90
1.0;0;0;0;283;1.5;93
1.3;0;0;0;292;1.0;93
1.6;0;0;0;294;2.1;93
2.0;0;0;0;296;2.6;92
2.6;0;0;0;299;3.1;91
3.5;0;0;0;295;2.6;88
4.4;0;0;0;299;4.1;86
5.3;0;0;0;304;3.6;84
6.0;0;0;0;308;5.1;84
6.5;0;0;0;311;4.6;84
6.9;0;0;0;322;6.2;85
7.3;0;0;0;324;7.2;86
7.6;0;0;0;324;7.2;77
7.8;0;0;0;326;8.2;79
7.9;10;0;10;326;8.2;79
7.9;32;0;32;327;7.7;80
8.1;51;0;51;328;9.8;80
8.2;62;0;62;328;9.8;81
8.2;64;0;64;329;10.3;85
8.0;57;0;57;329;8.7;90
8.3;41;0;41;331;9.3;93
8.5;20;0;20;333;10.3;94
8.5;8;0;8;323;6.2;90
